account_id,customer_id,branch_id,account_type_id,balance,open_date
1,10368,54,1,30042.8,2020-06-29
2,5910,98,3,24814.52,2018-04-14
3,2649,12,4,23000.67,2018-02-05
4,15978,51,1,15538.28,2024-01-09
5,10900,36,2,16941.17,2023-12-26
6,5795,88,4,48999.58,2018-05-05
7,10270,49,3,13863.1,2017-07-08
8,1901,10,2,39573.57,2023-04-17
9,155,41,2,8853.46,2023-08-10
10,14813,20,4,11836.85,2019-07-24
11,8963,90,1,46369.64,2021-06-23
12,6862,56,1,14216.53,2021-05-27
13,5525,99,4,47412.32,2018-07-24
14,18884,43,3,49283.8,2020-03-27
15,5192,32,4,23832.35,2018-12-13
16,16043,20,4,35474.43,2023-02-19
17,2885,19,4,17821.94,2018-09-28
18,4241,17,3,35420.18,2022-05-28
19,14212,87,4,41173.92,2017-07-24
20,14071,34,3,18690.57,2019-06-29
21,13219,100,3,25068.09,2019-05-19
22,14059,58,1,28206.9,2023-01-30
23,15644,6,3,21051.33,2020-04-16
24,12561,95,2,4259.38,2019-08-21
25,153,87,1,38513.48,2015-10-13
26,1237,66,1,41944.22,2017-12-23
27,17491,13,2,37068.08,2016-09-14
28,6535,1,4,17232.58,2018-03-08
29,12226,14,3,17124.07,2021-09-18
30,462,35,4,30341.78,2017-05-26
31,10559,68,2,9024.41,2023-02-16
32,17401,89,4,3772.0,2021-03-17
33,6245,14,3,15122.31,2025-03-06
34,588,22,3,10009.87,2021-01-30
35,136,75,4,45875.54,2015-10-05
36,8154,93,4,35370.68,2016-07-09
37,7415,57,1,40765.88,2021-06-15
38,11284,10,2,46162.0,2015-08-25
39,10227,79,1,23527.26,2025-06-18
40,4225,72,2,27328.19,2019-08-01
41,3366,69,3,43592.37,2017-11-16
42,12569,35,4,6255.11,2022-10-29
43,16494,6,4,3830.41,2022-10-05
44,19290,100,3,6580.96,2021-01-13
45,10031,72,1,31861.7,2021-10-28
46,5473,77,3,30128.78,2021-09-04
47,2140,85,3,27129.4,2016-03-01
48,1499,33,4,11638.73,2022-03-27
49,9772,32,2,38239.45,2017-10-01
50,9530,58,1,28851.56,2025-05-03
51,14940,99,2,10995.63,2016-02-15
52,17049,39,1,2963.26,2019-02-03
53,19542,71,1,42963.42,2019-05-30
54,17175,86,2,12211.26,2017-12-29
55,11071,98,4,45601.56,2015-08-24
56,14211,83,2,10086.35,2022-09-03
57,4385,94,1,7392.69,2023-08-09
58,11231,94,2,33757.71,2024-02-23
59,16063,16,2,29611.53,2021-11-18
60,11772,18,4,36508.82,2018-08-24
61,6175,52,4,31833.76,2021-08-10
62,5403,66,4,33014.44,2025-02-06
63,13219,15,2,42380.87,2024-05-19
64,627,63,2,2831.16,2019-10-17
65,7485,97,1,47513.09,2017-04-07
66,7351,77,4,14351.84,2024-06-29
67,4300,32,1,14545.13,2022-08-27
68,6921,2,1,12701.65,2021-09-18
69,719,94,2,30722.33,2020-06-13
70,19324,2,3,31171.54,2021-01-12
71,16536,67,1,7028.4,2018-01-29
72,5538,3,2,42165.25,2021-03-14
73,4036,42,2,21423.37,2017-11-15
74,12013,66,4,39814.59,2025-04-16
75,1225,70,4,49391.79,2025-04-07
76,12295,76,3,13517.82,2020-01-16
77,8382,78,3,37778.89,2015-08-04
78,17523,2,2,34726.53,2015-10-05
79,1593,43,4,20335.99,2019-02-05
80,19462,84,2,24829.63,2020-11-05
81,1572,66,4,9033.08,2023-11-29
82,3543,6,4,46400.71,2019-12-01
83,647,70,4,15787.62,2024-11-15
84,1581,16,3,26613.5,2016-08-27
85,3795,35,3,42116.5,2020-12-29
86,13657,3,4,24019.27,2018-11-23
87,14560,25,2,16381.07,2018-03-25
88,12461,28,2,22870.9,2017-11-29
89,4050,37,3,25782.59,2018-09-11
90,17934,92,3,33852.65,2025-06-11
91,8282,4,4,8970.32,2021-09-25
92,15546,44,1,17144.16,2017-02-13
93,5018,5,3,35849.57,2018-06-03
94,6734,71,3,27159.85,2022-11-11
95,305,95,3,37898.28,2019-04-25
96,9867,15,4,11456.43,2022-11-22
97,13792,89,3,9980.09,2017-05-10
98,3309,93,4,13677.46,2023-02-24
99,17050,7,2,28992.28,2017-03-19
100,8847,44,4,39171.08,2017-06-11
101,19846,49,4,24591.69,2023-08-31
102,4495,91,1,17633.85,2023-04-30
103,13725,29,3,45670.23,2019-07-28
104,3438,44,1,16331.89,2024-02-12
105,16764,83,2,22704.6,2022-01-04
106,3858,67,1,33702.91,2016-02-21
107,9264,93,4,3167.33,2017-04-01
108,3736,85,4,40135.92,2023-08-23
109,3483,56,1,29374.33,2015-11-15
110,16310,76,4,35625.72,2018-06-12
111,6510,76,1,20885.27,2022-11-05
112,19956,5,4,24159.08,2022-05-19
113,6546,82,3,46417.88,2023-06-03
114,8618,24,3,39183.33,2025-04-12
115,17143,14,3,40534.0,2019-12-28
116,6609,100,2,42632.47,2017-05-13
117,11729,31,2,37198.93,2021-02-15
118,13427,9,4,47961.66,2019-07-18
119,9679,13,2,48787.41,2019-10-21
120,5256,53,2,21833.11,2019-04-30
121,1292,90,3,30455.33,2025-03-07
122,17962,54,4,48247.08,2023-12-19
123,16265,73,1,17410.74,2019-08-26
124,6806,39,1,24326.78,2021-01-25
125,15751,54,3,27857.74,2015-08-12
126,10834,3,2,40105.02,2017-04-20
127,7685,18,3,29137.34,2016-06-04
128,90,82,3,15656.05,2016-05-22
129,418,10,3,27345.35,2015-07-25
130,2917,21,4,34227.94,2023-09-03
131,3619,38,1,45503.07,2018-01-24
132,18814,56,2,10165.63,2018-12-13
133,16191,58,1,29942.38,2018-10-05
134,4888,55,1,17011.21,2018-06-20
135,2952,100,4,28687.16,2016-06-24
136,16768,34,2,23337.46,2016-05-18
137,2460,19,1,16888.4,2016-05-03
138,3320,65,4,49264.72,2021-03-10
139,8386,15,1,48986.92,2019-11-17
140,7575,20,1,36373.76,2021-08-24
141,14967,91,4,3752.89,2020-02-04
142,9701,88,2,28005.31,2023-08-03
143,8655,93,3,9602.91,2019-03-21
144,15214,94,2,14262.21,2016-04-30
145,1642,45,2,1107.56,2017-10-22
146,3271,73,4,35446.54,2016-11-10
147,5725,68,4,37971.21,2018-02-04
148,1293,25,4,21191.77,2024-12-26
149,9522,51,4,606.0,2020-12-22
150,11804,100,3,11287.51,2017-02-12
151,10247,21,2,49213.45,2016-02-01
152,13960,7,2,26254.92,2016-07-11
153,3798,59,2,41632.26,2023-12-16
154,3113,35,1,31869.53,2021-05-11
155,1504,80,4,2678.79,2022-12-17
156,317,66,3,12591.49,2024-03-18
157,4535,72,1,3284.62,2019-05-22
158,5588,34,3,2128.26,2022-08-15
159,10770,75,3,7099.85,2017-04-05
160,11716,89,1,4704.01,2017-12-10
161,14344,93,3,28426.56,2019-06-11
162,8792,42,2,7128.15,2023-06-19
163,3046,77,3,46452.38,2018-02-14
164,12211,10,4,41331.7,2016-11-19
165,11231,23,3,42447.86,2018-02-13
166,5993,50,1,4077.34,2016-10-26
167,3731,1,1,49464.71,2020-03-16
168,13133,75,1,35326.29,2018-10-24
169,13116,20,2,21118.76,2024-06-10
170,14960,1,3,6954.18,2020-11-01
171,8908,32,4,21632.92,2018-02-21
172,12640,29,4,32713.08,2019-11-25
173,15672,11,1,23899.17,2023-03-28
174,13820,93,1,42633.56,2020-11-07
175,5466,34,4,42165.39,2015-12-25
176,3705,96,1,43473.03,2017-03-18
177,4343,56,4,37658.59,2021-06-27
178,1922,48,2,24827.31,2016-08-06
179,5224,54,3,35780.3,2022-01-13
180,3399,88,4,28074.89,2021-10-20
181,13633,46,2,12488.76,2016-06-05
182,19358,64,1,6499.15,2016-04-06
183,15817,92,1,45594.71,2020-06-30
184,18644,16,4,10967.26,2018-03-13
185,14358,98,2,20496.18,2020-03-14
186,5940,54,4,5758.67,2016-11-06
187,12444,51,1,47218.45,2023-10-16
188,11751,46,4,36245.82,2022-08-10
189,945,63,2,31414.8,2024-11-29
190,4282,66,1,22544.29,2016-04-23
191,15830,81,3,11714.45,2019-03-09
192,15995,13,1,25691.68,2017-07-17
193,3701,28,2,47007.29,2022-02-28
194,13477,3,2,4614.98,2019-11-24
195,14441,37,4,6142.29,2017-07-20
196,1507,74,1,47227.89,2018-12-25
197,2076,80,4,12070.57,2020-05-31
198,8573,45,2,49197.84,2025-05-04
199,10297,8,3,27575.54,2016-01-24
200,406,39,1,9462.18,2019-12-26
201,17198,31,3,21872.45,2021-10-29
202,18896,65,3,23816.89,2024-10-14
203,18515,73,4,49375.43,2023-09-05
204,7340,87,3,40143.37,2017-04-25
205,11086,97,3,22570.24,2023-06-11
206,17010,51,1,12059.84,2023-09-28
207,17142,38,1,19966.03,2018-10-28
208,3121,84,4,36866.65,2024-07-20
209,14184,13,3,19878.38,2015-10-31
210,8146,51,2,34899.77,2023-03-28
211,15792,35,3,24208.95,2016-02-06
212,11330,46,1,28187.98,2016-10-18
213,12612,6,1,25981.05,2021-06-17
214,4872,68,1,530.28,2022-09-11
215,18296,50,4,44437.85,2020-07-04
216,1789,19,3,34140.77,2017-07-03
217,382,93,3,15494.5,2024-06-18
218,5143,91,1,23376.94,2018-11-08
219,16567,73,3,49251.02,2025-04-15
220,15378,42,2,45576.48,2021-07-20
221,16248,25,3,24278.68,2020-11-04
222,5420,17,4,35413.72,2017-04-13
