withdrawal_id,account_id,withdrawal_date,amount,atm_location
1,35597,2023-05-29,172.1,"7063 Shannon Ports Apt. 609, Katelynburgh, HI 04043"
2,704,2024-04-07,530.77,"USS Aguilar, FPO AA 32203"
3,18557,2025-05-11,63.92,"PSC 8846, Box 7329, APO AE 29308"
4,20119,2024-01-08,481.83,"354 Bates Junctions, Smithmouth, ME 50471"
5,26157,2023-11-10,561.4,"229 Melissa Run Suite 248, East Toddstad, LA 21480"
6,30298,2024-03-27,589.9,"93431 Edward Valley, Port Jade, SD 43990"
7,31553,2024-12-24,636.86,"30413 Mosley Bypass, East Mollyberg, HI 50319"
8,18148,2023-09-08,882.04,"16603 Moore Square Apt. 889, West Joseph, WV 35056"
9,32869,2025-05-29,976.74,"2762 Smith Tunnel Suite 219, Montgomeryview, WY 09103"
10,38331,2023-07-05,601.89,"825 Jason Haven Suite 382, Lake Megan, ND 42261"
11,27479,2025-01-18,139.7,"5772 Saunders Vista, Muellerton, SD 63712"
12,37424,2023-08-17,684.54,"98063 Amanda Place Apt. 261, Lake Anthonytown, FL 68016"
13,17826,2025-06-21,475.33,"27593 Dennis Junction, Lopezburgh, NH 17855"
14,20752,2024-06-01,543.64,"6330 Ronald Lock Apt. 252, Richardbury, VT 11600"
15,23149,2023-08-04,716.49,"991 Cindy Pass Apt. 540, New Cherylshire, VA 04121"
16,26242,2023-01-26,260.7,"38157 Mann Points Apt. 695, West Lisa, WY 95628"
17,6793,2022-08-02,178.12,"04616 Monique Flat Suite 023, South Thomasville, CO 67743"
18,20648,2025-06-21,231.21,"77779 Hernandez Well Apt. 535, Lake Lynnbury, UT 30503"
19,5216,2023-10-19,898.29,"13134 Cordova Mission, Lisaton, ID 72552"
20,36333,2025-05-18,201.02,"21846 Kevin Manors, Richardborough, KS 39966"
21,10796,2025-04-20,883.28,"3881 Kathy Cape Apt. 271, New Dariusshire, MN 56416"
22,14484,2023-06-21,86.58,"0806 Patel Lake, West Amber, OK 03887"
23,11443,2024-05-22,215.93,"783 Williams Harbors, East Michaelburgh, MN 42265"
24,5214,2025-06-17,432.09,"53438 Travis Manor Suite 130, East Troyfort, MA 42112"
25,38502,2022-09-18,33.27,"301 Cruz Streets, South Randyview, NM 60976"
26,32643,2025-03-07,399.32,"0098 Huang Rapid, Anneburgh, DE 47971"
27,5109,2024-07-13,617.0,"PSC 8471, Box 7078, APO AE 64872"
28,31711,2022-11-25,936.11,"3086 Sanchez Harbor, Royburgh, ME 54709"
29,34022,2023-02-20,987.7,"3943 Miller Squares, New Steven, FL 62753"
30,17718,2023-04-29,370.73,"830 Turner Pass, Danaville, ME 63944"
31,6265,2022-12-02,256.94,"5627 Paul Manor, Martinezview, SD 78229"
32,13953,2023-05-28,634.15,"9852 Smith Fords, Haynesport, MO 82477"
33,4636,2023-05-21,279.27,"Unit 7186 Box 3899, DPO AP 71003"
34,22618,2024-05-02,435.84,"886 Shawna Isle, Davidport, WY 51255"
35,27465,2022-10-29,512.23,"905 Bowers Ridge Suite 208, Kaylaport, AL 78030"
36,24242,2024-04-21,75.35,"8325 David Square Apt. 154, Armstrongview, AR 89337"
37,2374,2022-12-06,487.21,"74731 Herrera Key, Reyesborough, NM 95999"
38,5714,2025-05-14,920.37,"607 Patrick Forest Suite 253, Daltonborough, MN 62477"
39,1637,2025-01-08,302.03,"534 Haley Throughway Suite 651, Johnland, RI 76793"
40,28932,2024-07-11,989.3,"45944 Williams Well Apt. 422, Jenniferview, CA 77360"
41,5503,2023-03-28,848.39,"847 Ashley Meadows, South Alexaborough, IN 58773"
42,26613,2025-03-11,359.99,"305 Schwartz Mission Apt. 504, Karenport, MN 73233"
43,8089,2023-05-20,311.13,"PSC 8396, Box 0177, APO AP 18219"
44,20525,2023-07-01,126.95,"574 Todd Club, Thomasborough, RI 68919"
45,11485,2023-05-24,346.32,"41027 Michelle Pass, East Alyssa, LA 84902"
46,29262,2025-04-01,453.75,"5966 Joseph Mountain Suite 740, Michaelmouth, ND 72038"
47,38937,2024-08-06,85.8,"USS Hale, FPO AA 29140"
48,39951,2024-04-17,94.7,"Unit 2612 Box 9690, DPO AP 95047"
49,22197,2023-07-04,940.84,"Unit 2238 Box 4658, DPO AP 15342"
50,35996,2023-02-23,152.01,"572 Hardy Wells, Jeffreytown, WV 28542"
51,28204,2025-02-22,803.13,"1766 Gonzalez Station Suite 923, Kelliton, MN 36855"
52,27765,2022-08-18,731.15,"35245 Fischer Greens, Port Andrew, ND 53227"
53,28168,2023-03-27,820.66,"642 Carl Road, Campbellmouth, AK 04490"
54,28826,2024-02-23,642.5,"14507 Lisa Summit Suite 325, Tonymouth, WY 31661"
55,1234,2024-08-12,85.03,"544 Kimberly Skyway, Lambshire, FL 94813"
56,6982,2022-09-17,564.55,"163 Melissa Dam Suite 534, Lake Gregory, HI 17179"
57,30305,2025-05-18,582.5,"85783 John Oval, Port Richard, MI 97728"
58,32876,2025-06-28,868.8,"8455 Martin Avenue Apt. 953, Lake Robertview, UT 16668"
59,23804,2024-03-30,861.54,"967 Melissa Flat Apt. 536, North Kevin, OR 36306"
60,8746,2023-11-29,464.95,"8316 Kent Centers, East Annehaven, NJ 02181"
61,8356,2024-10-28,119.57,"223 Jesse Crossroad, Chungland, WY 33915"
62,19423,2023-08-05,45.66,"6385 Pena Stream Suite 652, East Erin, MD 79922"
63,16123,2025-03-09,708.09,"41634 Elliott Causeway Apt. 223, North Daisyside, NC 17819"
64,37012,2024-05-02,285.18,"103 Sarah Place, Mcgeeshire, HI 77228"
65,32518,2025-04-29,786.24,"722 Christian Course Apt. 789, South Warren, MT 16726"
66,27821,2024-02-19,509.28,"8839 Humphrey Walk Apt. 808, East Lisatown, IA 01547"
67,28957,2024-09-27,498.47,"27961 Amanda View Apt. 981, Olsonport, PA 45690"
68,10271,2024-08-24,79.41,"38557 Vincent Skyway, Sawyerborough, VA 08510"
69,36246,2023-10-17,818.15,"32943 Lindsey Walks, North Bethland, WY 88864"
70,66,2023-07-30,664.02,"864 Shelly Spring, East Jeremy, FL 72784"
71,18722,2022-12-14,947.36,"Unit 7726 Box 5033, DPO AE 63776"
72,11041,2024-03-02,95.53,"35818 Charles Common, South Kendrahaven, AK 09056"
73,13122,2022-09-19,711.62,"669 Megan Glen, South Jessica, AR 58569"
74,9358,2024-06-14,984.95,"2398 Sara Ridge Apt. 052, Hollandberg, KS 28376"
75,8946,2023-03-27,534.5,"30893 Erika Islands Apt. 793, West Michaelstad, MS 98706"
76,31319,2023-12-06,858.66,"PSC 7870, Box 4740, APO AA 12072"
77,32393,2023-01-26,863.37,"Unit 1648 Box 2839, DPO AA 45184"
78,36913,2024-06-08,389.81,"Unit 9355 Box 1975, DPO AP 00934"
79,17642,2023-04-12,657.36,"5655 Johnson Lane, South Tommy, ID 43226"
80,24789,2024-07-09,957.9,"8777 Lopez Points Apt. 858, Lindaport, MT 20521"
81,39423,2024-12-20,862.19,"USCGC Flores, FPO AE 28246"
82,16500,2022-12-20,366.7,"6674 Juan Inlet, Lake Amanda, WA 55664"
83,37348,2024-01-31,55.51,"4201 Webb Stream Suite 968, New Michael, IN 32278"
84,4786,2023-10-10,644.76,"8219 Fernando Plain, South Amy, CO 38581"
85,28986,2025-05-29,967.88,"33532 Alexandra Mills, Port Kevin, DE 31263"
86,7524,2024-03-19,102.84,"52791 Gross Station, Stephanieport, MA 95910"
87,35326,2025-06-24,449.1,"73923 Shaun Port Apt. 227, West Lauren, MD 44384"
88,39621,2025-07-02,891.17,"2914 Shelia Station, West Benjaminbury, OR 99356"
89,29088,2025-01-15,329.62,"9238 Robert Stream, East Christopherton, ID 76345"
90,22229,2024-07-31,88.68,"897 Shelley Walk, North Timothy, VT 88533"
91,208,2025-05-27,194.0,"31145 Paul Rest, East Thomas, MD 57495"
92,13787,2023-01-13,333.97,"064 Christopher Springs Suite 933, Underwoodshire, KS 43935"
93,29164,2024-05-28,112.48,"1662 Gregory Shoals, Lake Brucehaven, IA 28941"
94,36009,2024-05-09,835.65,"210 Jones Mountains Apt. 815, Valenciaview, IL 02665"
95,37722,2024-06-20,584.91,"4224 Sanders Garden Suite 337, Davisport, NM 64302"
96,10360,2025-03-25,323.18,"7395 Michael Stream, East Carrieport, TN 77618"
97,3191,2024-10-24,199.64,"2368 King Spur Apt. 458, South Katieview, OR 01093"
98,33691,2023-10-03,193.86,"PSC 2350, Box 9235, APO AP 80336"
99,28912,2022-09-16,504.62,"07828 Solis Glen Apt. 823, Lake Bryantown, SC 90669"
100,33329,2024-11-02,179.59,"0660 Robert Rue Apt. 106, South Megan, LA 39998"
101,23243,2024-01-07,600.02,"9680 Troy Keys Apt. 369, North John, VT 35673"
102,3964,2023-02-15,711.48,"52576 Sullivan Street, East Scottmouth, MO 68962"
103,22799,2022-09-01,223.55,"97071 Jackson Plaza Apt. 595, North Timothyside, VA 63624"
104,8380,2023-04-24,96.16,"47543 Kristina Loop, Robertside, MD 46467"
105,21987,2024-06-12,28.55,"5823 Matthew Gardens, East Lisachester, IA 43034"
106,19126,2022-12-06,295.13,"4311 Victor Meadows, Denisehaven, SC 12739"
107,35693,2025-04-06,48.3,"9375 Jesse Forge, Cassandraberg, NJ 81730"
108,33381,2024-11-16,134.11,"67471 Barnes Underpass Apt. 695, Ramirezland, TX 16458"
109,22377,2023-01-08,569.74,"USNS Grimes, FPO AA 83732"
110,32467,2022-07-15,877.08,"79377 Harris Keys Apt. 336, West Cheyennemouth, AZ 46336"
111,2531,2025-02-25,906.34,"487 Brown Harbor, East Juan, NY 21282"
112,10844,2025-06-08,43.73,"50986 Adams Trace, Donovanshire, NE 30465"
113,24075,2024-07-01,539.76,"78949 Amy Streets, East Daniel, IN 17938"
114,16639,2023-01-31,687.86,"6652 Kennedy Course Apt. 694, Lake David, RI 82150"
115,23725,2024-10-21,93.98,"35335 Reeves Club, Maddoxchester, OH 98956"
116,27204,2024-05-26,610.61,"8184 Russell Trail, Bryantview, MT 75238"
117,34742,2023-09-16,630.11,"62734 Amber Light Apt. 009, Reneefort, CO 69655"
118,9293,2024-05-29,658.01,"162 Ross Estate Suite 442, Smithmouth, RI 38303"
119,21502,2023-05-04,582.99,"1878 Charles Union, Irwinstad, NV 23481"
120,27965,2025-02-04,770.96,"4635 Richard Key, South Erikaville, OR 92297"
121,25375,2024-02-07,435.15,"9266 Trevor Plain, New Derek, CT 48456"
122,2456,2022-12-29,99.03,"6410 Schneider Squares, Royton, CO 43040"
123,36269,2025-02-19,184.27,"300 John Loop, South Kevin, WA 63475"
124,10501,2022-08-18,112.7,"3312 Rodriguez Loaf, New Jessicaside, TN 08012"
125,25225,2023-07-07,456.55,"98448 Crawford Rapid, Patriciahaven, CO 90166"
126,6776,2024-06-20,658.66,"Unit 8517 Box 4460, DPO AA 19704"
127,8052,2024-02-19,162.69,"17458 Kimberly Pike, Sherrystad, AR 73849"
128,37380,2024-07-28,453.51,"40685 Russell Manors, Jefferyport, IL 42356"
129,33249,2022-11-29,577.08,"95034 Julie Lodge Suite 166, New Tara, RI 43198"
130,10233,2023-10-20,97.69,"660 Brent Views Apt. 966, West Jacobtown, WV 14404"
131,4234,2023-04-07,401.35,"00644 Jonathan Cliffs, Roblesview, CA 89489"
132,15640,2022-11-19,126.22,"64461 Kaitlin Plains Suite 525, Allenfort, NE 15499"
133,23112,2023-05-10,897.91,"139 Nelson Circles, West Meghan, NY 61380"
134,1891,2023-05-29,115.04,"72391 Cantrell Village Suite 432, West Walterfurt, NJ 58955"
135,6172,2023-06-11,395.25,"22962 Eric Meadow, North Jennifermouth, ID 40448"
136,33306,2025-03-05,718.53,"249 Montoya Vista Suite 462, Mendezstad, RI 59639"
137,18947,2023-05-06,287.81,"508 Brown Row Apt. 004, West Frederick, OH 27279"
138,15962,2022-11-06,895.59,"9439 Steve Circle Suite 321, Andrewshire, WV 38110"
139,11000,2023-12-20,658.56,"2230 Erin Shore, Lake Tylerhaven, IA 22003"
140,4256,2024-07-24,624.16,"630 Crystal Junction Suite 207, Jamesborough, ID 85275"
141,16061,2022-07-05,419.34,"74296 Kelly Dam Suite 005, Timothymouth, VA 08392"
142,26015,2024-06-17,345.51,"1445 Crawford Summit, Robinsontown, NM 99238"
143,17316,2023-07-28,597.78,"849 Rios Square, East Alyssabury, VT 63653"
144,19363,2024-04-26,928.62,"9923 Huffman Fall, Martinshire, ME 58197"
145,7403,2022-07-10,298.93,"USS Palmer, FPO AE 62849"
146,23955,2022-11-19,408.9,"588 Charlotte Crest Apt. 977, East Tammy, VA 34988"
147,518,2023-04-18,762.31,"514 Meredith Springs, South Richardchester, PA 05943"
148,24714,2024-11-22,343.62,"801 Lynn Fields, Lake Dylanshire, ND 08713"
149,11793,2023-11-21,483.79,"06025 Watkins Fork Suite 637, Blankenshiptown, OR 15224"
150,768,2023-11-11,251.68,"576 Madeline Shoal Apt. 085, Michelleshire, AL 14621"
151,3851,2024-06-01,521.0,"3312 Pena Plaza Apt. 591, Kingshire, NC 12393"
152,35100,2023-02-26,262.25,"889 Vang Estates Apt. 150, Jonathanfurt, MT 41839"
153,39620,2024-10-28,363.93,"67537 Brown Motorway Apt. 993, Porterborough, ID 80756"
154,5992,2023-04-17,914.0,"428 Lindsey Center, Juliatown, CA 77298"
