payment_id,loan_id,payment_date,amount,status,interest_amount
1,13876,2022-12-31,376.66,on-time,43.71
2,2448,2023-03-19,1854.0,on-time,95.56
3,11796,2022-02-25,865.12,on-time,75.88
4,289,2022-01-04,309.03,on-time,63.88
5,6842,2022-10-26,1406.83,missed,24.04
6,792,2021-12-27,1343.62,on-time,24.04
7,10600,2024-05-31,777.19,on-time,15.23
8,1381,2025-02-24,1169.29,on-time,87.96
9,2872,2021-11-12,1097.04,late,64.1
10,8572,2023-02-20,193.35,late,73.73
11,3790,2022-10-04,1260.89,on-time,11.85
12,6563,2025-02-06,1904.26,on-time,97.29
13,12910,2022-11-09,605.44,missed,84.92
14,13803,2025-01-20,718.69,on-time,29.11
15,13049,2024-07-12,1669.44,late,26.36
16,3121,2025-05-29,467.56,missed,26.51
17,13227,2022-10-16,961.38,late,37.38
18,12887,2024-08-10,438.22,late,57.23
19,2564,2023-06-02,1859.6,on-time,48.88
20,9454,2024-05-25,1332.69,missed,36.21
21,10440,2023-02-03,311.93,late,65.07
22,12302,2023-04-15,1377.52,late,22.55
23,7511,2023-08-08,428.44,late,36.29
24,13299,2025-05-16,1503.69,missed,42.97
25,6498,2022-03-02,1825.58,on-time,51.05
26,8370,2024-07-01,779.84,late,80.67
27,290,2023-09-05,1070.19,missed,27.97
28,14625,2024-01-01,637.44,late,56.28
29,9266,2021-08-14,309.26,missed,63.32
30,8900,2024-06-27,1539.16,late,14.18
31,2463,2021-07-30,1868.73,missed,64.68
32,5686,2023-07-11,101.45,on-time,25.35
33,12966,2022-06-29,110.95,missed,15.85
34,9436,2024-02-16,1816.68,missed,95.4
35,8732,2024-05-13,1601.59,late,96.91
36,1668,2021-08-10,1961.9,late,82.76
37,10876,2022-06-04,219.21,late,37.42
38,10252,2023-02-10,698.28,late,18.79
39,6279,2021-11-16,1599.96,late,71.58
40,12487,2023-07-06,509.55,late,49.61
41,13146,2024-07-22,1591.97,late,20.98
42,13025,2023-05-09,1330.47,on-time,54.57
43,1235,2022-11-02,1781.41,late,13.09
44,10778,2021-12-21,770.61,late,91.84
45,3884,2024-01-04,1980.42,on-time,33.29
46,11317,2024-12-13,868.52,on-time,69.63
47,11227,2022-02-11,314.06,late,38.05
48,6370,2023-06-21,756.94,on-time,56.81
49,10398,2022-04-23,873.39,missed,59.2
50,3514,2025-03-08,423.47,on-time,26.64
51,14057,2021-12-23,326.18,on-time,97.26
52,11577,2022-07-21,1429.52,late,79.76
53,7052,2023-04-15,480.19,missed,94.55
54,6715,2022-02-04,1594.63,late,90.53
55,7299,2024-01-01,1682.53,missed,63.81
56,13210,2025-05-28,789.83,on-time,92.97
57,12577,2025-02-28,626.27,on-time,17.96
58,13029,2022-11-22,1964.69,on-time,27.64
59,13672,2023-11-09,1985.18,missed,14.07
60,10912,2024-10-13,1548.43,on-time,39.28
61,2985,2023-09-02,1003.92,late,44.98
62,6925,2022-03-02,527.71,late,34.42
63,3934,2024-06-19,635.06,missed,84.59
64,7274,2022-09-27,370.25,on-time,42.11
65,9313,2024-10-11,282.4,on-time,35.28
66,14738,2023-11-24,1486.06,on-time,58.84
67,1184,2021-11-30,1561.05,late,22.68
68,5636,2022-06-26,1879.18,missed,82.2
69,12625,2025-06-04,1228.86,missed,16.71
70,603,2022-11-25,1024.69,late,98.82
71,10825,2024-10-10,1524.04,missed,79.5
72,10958,2022-01-10,752.83,late,27.88
73,13928,2021-08-24,619.11,missed,10.5
74,4859,2025-05-28,1934.2,on-time,83.39
75,5228,2023-01-22,523.97,on-time,73.62
76,1295,2021-10-08,1543.69,missed,75.61
77,12517,2024-04-30,1268.63,missed,79.41
78,1813,2024-01-04,1901.59,on-time,16.66
79,3333,2021-07-07,1719.33,on-time,42.26
80,11531,2023-08-04,208.56,on-time,20.43
81,7214,2024-11-11,495.43,missed,87.68
82,7084,2022-03-24,1553.2,on-time,66.1
83,7825,2023-06-28,1862.89,missed,39.78
84,5880,2024-05-25,1746.14,on-time,15.72
85,14722,2024-10-17,1344.91,missed,37.99
86,1115,2022-11-19,923.49,on-time,39.27
87,70,2023-12-08,799.78,missed,75.66
88,4266,2023-08-17,1063.46,missed,67.38
89,2454,2022-03-17,1307.2,missed,89.85
90,6730,2021-07-21,622.82,missed,52.5
91,3190,2024-09-16,1489.31,late,20.76
92,4421,2022-07-06,1384.72,on-time,74.19
93,6735,2024-07-11,1509.3,on-time,78.47
94,10699,2024-01-02,1130.9,on-time,60.51
95,12258,2023-02-20,1755.26,missed,79.39
96,10015,2025-03-18,1098.45,missed,54.44
97,14167,2023-09-13,150.36,on-time,57.05
98,10758,2023-06-25,316.98,missed,48.48
99,5494,2024-01-09,569.32,missed,12.29
100,13185,2024-01-23,688.46,late,19.71
101,2830,2022-08-22,550.34,missed,12.83
102,2393,2023-10-06,1994.16,on-time,67.28
103,8438,2025-01-29,771.21,on-time,38.29
104,3120,2023-07-30,1833.07,missed,55.77
105,6898,2023-12-30,1947.85,on-time,91.68
106,5313,2022-04-19,1888.43,on-time,32.44
107,10257,2023-12-17,400.21,on-time,46.93
108,14284,2023-09-28,1193.61,missed,78.0
109,5846,2021-07-19,1361.79,on-time,30.59
110,6647,2024-06-24,381.04,on-time,16.93
111,8341,2025-05-26,815.23,missed,36.08
112,12595,2023-09-10,1497.77,late,24.51
