loan_id,customer_id,account_id,loan_type_id,amount,start_date,term_months,interest_rate,issued_by_employee_id
1,10407,39592,1,91178.25,2021-12-03,48,7.22,1127
2,13303,30679,2,20185.13,2021-08-20,48,8.02,1460
3,19865,23341,2,37200.47,2022-06-30,24,3.29,861
4,10415,28407,4,30317.28,2023-09-28,12,8.14,1295
5,10518,36067,3,77726.06,2021-04-10,48,6.13,1131
6,14496,9575,3,99958.71,2023-05-29,60,5.12,1096
7,6195,24649,4,37355.31,2023-01-17,36,3.86,1725
8,7590,4824,2,94478.37,2023-10-09,36,5.64,1045
9,3910,11110,4,99627.85,2022-01-23,48,7.03,1639
10,7022,2955,4,90991.38,2024-06-28,24,7.02,122
11,19262,16887,1,32018.3,2022-08-18,24,5.35,467
12,272,8547,4,64165.02,2021-01-28,60,3.29,1239
13,5292,35050,3,12988.37,2023-09-11,24,4.89,331
14,13561,24323,4,66614.43,2022-03-22,24,6.58,1483
15,3698,26121,3,32370.22,2023-12-10,24,3.81,88
16,19120,3211,1,27008.2,2021-04-07,24,9.77,1397
17,6889,4382,2,3016.86,2021-09-18,12,9.17,1124
18,17381,5907,1,97607.82,2024-05-20,12,3.5,872
19,10198,21392,4,59467.88,2024-01-28,36,8.11,1688
20,13186,17100,2,18457.75,2023-08-27,60,6.92,131
21,17685,16567,3,39144.82,2021-05-06,36,4.92,1686
22,8934,32404,2,87296.95,2024-01-06,36,8.32,1333
23,13339,38419,2,10169.21,2024-04-06,36,9.67,770
24,5938,15142,1,91259.84,2022-08-23,48,7.88,344
25,4182,17733,3,9217.01,2022-04-19,24,9.1,1516
26,4880,24377,4,11393.66,2021-11-03,24,7.05,1438
27,14242,36507,2,87172.87,2022-10-24,60,7.26,806
28,8250,30103,4,94759.56,2022-11-19,36,9.24,386
29,12711,12922,4,12025.53,2020-07-16,24,6.86,1216
30,4648,23948,2,88957.43,2023-05-25,24,8.98,956
31,4473,16825,1,25822.75,2024-04-06,48,6.48,277
32,17701,7706,2,46580.62,2023-10-15,24,9.9,1185
33,3571,24087,2,46409.44,2022-03-19,48,3.27,460
34,18910,19973,2,68546.48,2021-11-03,60,4.34,1338
35,4073,6751,4,14406.51,2023-11-04,24,6.61,22
36,10876,22142,4,80038.77,2021-12-17,60,7.33,253
