txn_id,account_id,txn_date,amount,txn_type,description
1,13134,2020-07-25,3394.44,credit,Free hot.
2,35331,2022-01-24,2644.46,debit,Impact run.
3,4031,2023-04-06,326.85,debit,Part phone behind fill.
4,16804,2025-06-11,3156.22,credit,Camera fast road.
5,6971,2024-03-23,2603.07,credit,Involve couple recent stock.
6,5848,2024-11-09,3107.85,debit,Very turn.
7,18219,2021-05-27,1800.99,debit,Rule note during.
8,29401,2024-10-11,1310.18,credit,Story with.
9,39702,2025-01-12,692.85,credit,Mission miss left.
10,20053,2023-08-07,3711.26,debit,Police member pressure respond.
11,21115,2021-11-19,284.09,debit,Fear industry stay.
12,39139,2023-12-26,606.61,debit,With lay build.
13,37969,2020-12-13,3229.43,credit,Ball Congress just daughter.
14,17511,2023-03-25,1201.02,debit,Kind service its bad.
15,23846,2023-09-25,1531.01,credit,Image behind candidate.
16,3240,2024-03-02,3428.75,credit,Know treat for difficult.
17,28842,2022-10-21,3719.81,debit,Should dog understand.
18,27309,2020-09-29,2942.65,credit,Consumer meet feeling.
19,30979,2022-07-18,2799.5,credit,Trade product dog air interesting.
20,20471,2025-04-27,979.37,credit,Strong card.
21,20471,2024-07-06,655.87,credit,Water art spend return.
22,33492,2022-07-23,272.97,credit,Like change around.
23,23153,2024-05-29,3105.83,credit,Break all.
24,7761,2020-07-30,743.35,credit,Respond authority attention reach someone.
25,19155,2021-12-05,2505.59,debit,Everyone design camera cut clearly.
26,1188,2021-08-04,1046.46,debit,Career cultural.
27,17133,2021-01-13,3415.46,debit,Anything civil.
28,20583,2024-09-10,3353.05,credit,Thus ready agreement them exactly.
29,2590,2024-10-01,911.71,credit,Public market plan time.
30,6270,2024-06-30,3073.39,credit,Child growth tough.
31,14441,2025-05-22,1115.0,debit,Mention sure condition through.
32,14502,2022-10-04,3318.34,credit,Unit nearly.
33,35294,2023-10-23,2823.74,credit,Although less stay prevent pick.
34,39030,2020-09-07,1226.61,debit,Least season bit same.
35,29984,2022-03-30,1811.12,debit,Agency occur.
36,3702,2023-09-28,4243.49,debit,Claim possible parent.
37,18747,2024-07-20,4351.36,credit,Alone his although field.
38,35883,2022-08-30,3849.4,credit,Behavior able local.
39,17675,2022-07-17,3359.4,debit,Ago game need.
40,21033,2020-10-31,899.91,debit,Body bag check poor government.
41,28753,2022-10-19,1000.87,credit,Thousand area.
42,37158,2025-06-09,4922.73,debit,Board hit citizen.
43,7842,2022-12-14,2997.63,credit,Bank without project public.
44,25527,2022-07-09,1328.74,credit,Hot large enough century.
45,28255,2020-11-30,3160.8,credit,Idea quite series.
46,30770,2022-01-26,4336.29,debit,Effort look technology me fast.
47,1200,2023-10-05,3919.24,credit,Listen one yet if as.
48,22798,2021-03-30,4403.18,debit,Born family old.
49,701,2020-08-22,3788.41,debit,Phone turn sometimes.
50,15865,2022-06-05,677.17,debit,Specific direction discussion water again.
51,21452,2023-04-18,1832.53,credit,Political reveal meet.
52,15611,2021-08-05,4863.11,debit,Benefit fly whatever road.
53,14060,2023-01-29,4858.47,credit,Plan movement.
54,22607,2024-02-19,1321.41,debit,Eye sea mean everybody.
55,16646,2023-07-12,2399.67,debit,Special answer continue analysis summer.
56,14642,2025-04-15,3946.17,debit,Ready cut brother will.
57,2431,2024-05-12,4925.47,credit,Believe professor manager.
58,33206,2023-08-02,852.55,debit,Represent benefit choice.
59,34301,2022-04-20,4611.16,credit,Pm consumer.
60,14315,2024-11-16,1340.05,debit,Just drive executive politics leave.
61,27357,2022-06-16,2191.45,credit,Party challenge.
62,18874,2021-05-21,3383.23,credit,Region such.
63,7232,2024-05-21,1321.62,credit,It son run boy.
64,20397,2024-09-17,1093.63,debit,Bring provide top him.
65,10172,2025-03-02,670.47,debit,Then allow appear information.
66,36084,2025-02-02,4871.57,credit,Play bar seem miss process.
67,14332,2024-10-08,1882.88,debit,Pass share pull several.
68,21524,2020-08-31,124.36,credit,Third then church.
69,20532,2023-12-31,4295.04,debit,Event certainly including maybe including.
70,35715,2020-12-10,719.61,credit,I food.
71,11457,2025-02-13,4431.86,debit,Go long.
72,28669,2020-08-20,4520.41,credit,Republican TV development.
73,13329,2024-08-31,1516.85,debit,Into social.
74,26417,2021-06-07,2663.48,credit,Our look.
75,1279,2023-05-19,4769.78,credit,Area free game.
76,32252,2022-12-06,1888.12,debit,Could heart year she.
77,7297,2024-11-22,2075.27,credit,Or north cost sea.
78,16300,2021-02-13,1790.2,debit,Sing teach mouth example question.
79,30187,2020-10-23,2646.39,credit,Seek expert player.
80,13714,2020-12-10,2772.63,debit,Get term individual.
81,10735,2025-02-14,2831.06,credit,Near space always.
82,28070,2021-02-10,3977.16,credit,Respond most.
83,801,2020-12-16,231.4,debit,Executive fear southern against drug.
84,13424,2020-07-28,3800.13,credit,So other think.
85,6517,2023-12-18,2505.99,debit,Case compare and.
86,32315,2021-04-02,1992.44,debit,Interview guy us.
87,4342,2023-10-30,3166.93,credit,Blood wear.
88,30700,2023-02-13,2080.64,debit,The teach Mr now.
89,9931,2022-07-24,4440.67,debit,Get town tonight beyond.
90,5018,2024-07-19,131.12,debit,Peace white role.
91,12226,2025-05-06,376.42,credit,Pass international meeting.
92,33677,2023-10-15,1709.1,credit,Open wrong smile foot.
93,15985,2022-05-09,4493.69,credit,Organization population certain.
94,7791,2023-08-25,3037.38,debit,Professor remember news add nature.
95,38017,2022-11-16,4309.87,debit,Worry something pretty front.
96,644,2022-11-02,615.15,credit,Now truth record her help.
97,27911,2021-11-29,4049.25,credit,Indicate bill choose already although.
98,15354,2020-08-24,4473.01,credit,Quickly poor candidate.
99,30798,2020-10-25,4413.46,credit,Speech who item travel green.
100,39873,2021-06-03,3981.58,credit,Perhaps stop fish new nor.
101,38477,2024-03-11,4911.64,credit,Particularly as administration official.
102,27654,2024-12-19,3493.9,credit,Tree always add explain.
103,25941,2022-05-22,3829.11,credit,Public daughter every.
104,4950,2025-01-17,2926.45,debit,Official while.
105,30571,2020-11-13,3502.15,debit,Nor gun like citizen chance.
106,11318,2021-11-15,1978.57,credit,Real evidence star.
107,7673,2025-02-10,1638.71,debit,Already recently.
108,20512,2023-04-17,253.14,debit,Unit full thus.
109,3706,2024-08-01,2584.16,credit,Most radio nothing.
110,1974,2024-04-01,352.68,credit,Own can.
111,7753,2022-10-12,2002.72,debit,Father institution discuss simply so.
112,35380,2022-05-27,339.75,credit,Collection capital chair.
113,19326,2025-01-13,1536.41,debit,City focus PM position.
114,9794,2025-01-15,2445.03,debit,Into use weight.
115,6290,2023-05-21,4210.95,debit,Bar citizen want under relationship.
116,7298,2023-01-12,3069.59,debit,Interesting be rest case.
117,29394,2021-02-14,2147.18,credit,Trip college become amount cup.
118,29371,2023-08-18,1341.47,debit,History rise add board.
119,16987,2021-11-27,1512.84,debit,Nice receive usually.
120,38049,2025-02-20,152.95,debit,Economic here hold plant generation.
121,36731,2023-03-15,3134.57,debit,Official sense mind individual ten.
122,33504,2020-11-10,4357.81,debit,Action could foreign career describe.
123,16323,2021-08-02,3264.46,credit,In blue camera interesting.
124,30391,2020-10-07,3769.41,debit,Travel but political evening sister.
125,10127,2023-01-19,109.91,credit,Behind process firm respond.
126,23895,2025-06-03,2994.31,credit,Should cause time serious.
127,9352,2022-03-21,4151.28,debit,Little make fast free.
128,20383,2024-08-12,3138.23,credit,History run.
129,14919,2021-03-30,3474.19,debit,It early surface he no.
130,36305,2022-09-05,4359.16,debit,Enjoy along consumer.
131,23003,2022-03-24,2582.19,debit,Others power finally.
132,29295,2024-01-27,3816.6,debit,Activity poor name.
133,11928,2021-06-14,357.55,credit,Herself drop reality.
134,1006,2024-02-21,4366.76,credit,Hot attorney throw garden.
135,13690,2020-10-21,3574.61,credit,Treat open unit.
136,2273,2022-06-10,4287.56,credit,Cup health management.
137,33895,2021-07-05,1123.3,debit,Bad up try middle.
138,8922,2022-11-04,3760.16,credit,Admit chair scientist much.
139,21308,2022-12-04,1719.42,credit,Common morning American.
140,15169,2023-07-26,954.15,credit,Compare their when.
141,33003,2022-03-10,4490.14,debit,Data for.
142,10260,2021-08-20,51.23,debit,Push politics.
143,3501,2021-10-16,406.23,credit,Customer can just then nature.
144,8270,2024-03-06,2726.2,credit,Begin trip may.
145,14250,2025-01-11,3854.32,credit,Anything your member someone.
146,33816,2024-01-22,228.39,credit,Born partner soon hand.
147,21201,2020-08-18,4095.91,debit,Author college.
148,34595,2024-04-22,3711.51,debit,Size ahead book.
149,4630,2022-08-19,2400.86,credit,Loss hotel.
150,26945,2022-09-30,575.63,debit,Value with alone.
151,446,2022-12-17,1386.18,credit,Shoulder movie.
152,9979,2023-08-12,717.94,credit,Them cut.
153,13064,2023-02-22,4706.12,debit,Official can brother push.
154,6840,2022-04-05,2461.01,debit,Prove manage card.
155,22113,2023-02-05,2365.76,debit,Everyone mission teach.
156,37212,2025-04-06,3080.99,debit,Ball heavy while ask.
157,16860,2025-02-27,986.18,credit,Fly region.
158,14995,2024-06-22,3566.15,credit,Candidate three.
159,3250,2021-08-22,4664.66,credit,Can prevent fine.
160,38827,2021-12-31,3503.45,credit,Similar statement lot whatever start.
161,6689,2024-01-17,849.58,credit,Agent shake machine.
162,16840,2024-05-03,3810.42,credit,Degree if rest address state.
163,37106,2023-09-22,724.6,credit,Gun structure brother.
164,26979,2020-08-22,1923.97,credit,Church indeed four whether machine.
165,35104,2022-01-16,2215.79,debit,Fire street white somebody second.
166,14340,2021-05-18,3202.79,debit,Forget practice.
167,22832,2022-05-29,2368.28,debit,Month manage.
168,31953,2023-01-18,4663.13,credit,Value door.
169,39176,2021-06-28,1246.88,credit,Rest why meet.
170,4672,2021-10-10,2766.17,debit,Science laugh image particularly mouth.
171,11489,2022-09-28,1179.77,debit,Word camera ten industry man.
172,11259,2021-06-01,1414.74,debit,Religious safe president.
173,16227,2021-03-16,3490.0,debit,Stay him whatever.
174,22987,2022-10-10,2886.04,debit,Fish economic similar.
175,35385,2021-11-07,2373.08,debit,Character wonder behind drop hour.
176,23336,2023-07-09,109.88,debit,Instead challenge.
177,10255,2024-08-22,2079.98,debit,Want detail finish local a.
178,37157,2023-01-18,1484.36,debit,Entire when.
179,12722,2025-01-13,1330.32,credit,Where sure feel art red.
180,4733,2024-03-12,4483.36,credit,Worker election eight.
181,8428,2025-04-27,3371.78,credit,War structure my write.
182,23774,2024-03-12,4224.16,credit,Item age.
183,27625,2021-04-04,2976.97,credit,Ready happy decision year.
184,29610,2021-08-15,430.48,credit,Republican minute stage.
185,2272,2023-07-05,2107.32,debit,Administration brother any.
186,30294,2020-10-06,2007.13,credit,Still trade nature.
